adapter,step,single_loss,multi_loss,abs_diff,tokens
a,1,2.638955743665201,2.638955743665201,0.0,521
a,2,2.467352528066183,2.4731847373411293,0.0058322092749460985,443
a,3,2.2828534928763786,2.2881567294781027,0.005303236601724048,533
a,4,2.401393836502425,2.398940057733694,0.0024537787687313184,458
a,5,2.1181783970691814,2.135038676428888,0.016860279359706354,514
a,6,1.8772406220708886,1.8843879429644796,0.007147320893591047,437
a,7,2.0515047575390604,2.052568514751275,0.0010637572122145222,407
a,8,2.0250337421894073,2.012789913925572,0.012243828263835521,552
a,9,2.1053035809748195,2.101798512214838,0.0035050687599813557,602
a,10,1.9782840956538976,1.9623921301979081,0.015891965455989476,493
a,11,1.5843843754774296,1.5800028720997876,0.004381503377641982,644
a,12,1.6336908088966065,1.6492868818317934,0.015596072935186944,602
a,13,2.232649637956053,2.2427936675341704,0.01014402957811722,438
a,14,1.9897205746599607,1.9732950604387691,0.01642551422119154,560
a,15,1.995488882702302,1.9922578351807891,0.003231047521512931,561
a,16,1.9116697925806536,1.9119773209706958,0.0003075283900422221,487
a,17,1.9352002394826788,1.9483083692090264,0.013108129726347562,551
a,18,1.7368704261721037,1.7409074722619027,0.004037046089798935,487
a,19,1.8970105632978227,1.8959473552256285,0.0010632080721941772,554
a,20,1.9213744112588826,1.9283819154628272,0.007007504203944581,515
a,21,1.7705238398829415,1.7798332733746554,0.00930943349171387,409
a,22,1.8677091682132267,1.874080723105986,0.006371554892759201,613
a,23,1.806852713227272,1.8320736711594596,0.025220957932187593,536
a,24,1.7705466581850635,1.7803367150073148,0.009790056822251314,490
a,25,1.972578284588266,1.9902907756485273,0.017712491060261293,423
a,26,2.012048056129831,2.009524135472276,0.0025239206575551343,569
a,27,1.9913805517319,1.9966593433759714,0.005278791644071301,608
a,28,1.86848535344132,1.8819792797932258,0.013493926351905827,468
a,29,2.0639566004168493,2.0484683220468423,0.015488278370006991,553
a,30,1.9207108749904955,1.943806302927672,0.02309542793717645,533
a,31,2.0336863720504037,2.0311318009439177,0.0025545711064860477,548
a,32,1.889074101090649,1.9100072619248134,0.0209331608341643,547
a,33,2.0001643695329365,2.016778046833841,0.016613677300904683,570
a,34,1.8751331207252318,1.8762823619669484,0.0011492412417166697,496
a,35,1.8611072749710775,1.8877083121540326,0.026601037182955034,551
a,36,1.8471044717833054,1.879309433606244,0.03220496182293853,516
a,37,1.9254337923471319,1.9329846496729888,0.007550857325856919,516
a,38,1.7102484474365087,1.728458236447341,0.018209789010832367,417
a,39,1.7735283836782219,1.7356887689555984,0.03783961472262343,498
a,40,1.9406564938917494,1.952179281335128,0.011522787443378535,456
a,41,1.6981623152817935,1.7012912863692387,0.0031289710874451426,538
a,42,1.8787547553199646,1.888902209368311,0.010147454048346383,563
a,43,1.8913899238729652,1.9364348141265002,0.045044890253534975,546
a,44,1.9127493896521628,1.9265795780811459,0.013830188428983092,512
a,45,1.7665118854991422,1.7887200085206043,0.022208123021462134,411
a,46,1.8953514731706786,1.9197706191932562,0.024419146022577554,522
a,47,1.7899276710397016,1.801871996642486,0.011944325602784467,539
a,48,1.604086069418834,1.607080516219139,0.0029944468003051394,520
a,49,1.822741322733205,1.8301405236124992,0.007399200879294243,464
a,50,1.7726598546860066,1.7804605610827182,0.007800706396711599,470
a,51,1.8225574564366114,1.8303925461915074,0.007835089754895996,588
a,52,1.7367438524305032,1.7374146504549204,0.000670798024417163,454
a,53,1.8559995747747875,1.8880457666815904,0.03204619190680291,378
a,54,1.9313822514077892,1.92727306448895,0.004109186918839214,575
a,55,1.9716081272197674,1.9359836935494017,0.03562443367036572,474
a,56,1.9678018010180929,1.9752406622015912,0.0074388611834983465,575
a,57,1.8471405116781112,1.8644224881164488,0.01728197643833762,496
a,58,1.8353838752987934,1.8395507486507636,0.004166873351970191,569
a,59,1.9471644674468718,1.9437592460819608,0.0034052213649109486,387
a,60,1.943392772805714,1.9466407952467912,0.0032480224410771363,509
a,61,1.9304526494099543,1.911068556341664,0.019384093068290253,507
a,62,1.99724074175437,1.9834808322336401,0.013759909520729918,542
a,63,2.0570407828619315,2.040868092183919,0.016172690678012636,516
a,64,1.7957557750883557,1.7885980585643224,0.007157716524033297,525
a,65,1.9671435651658964,1.970505483010236,0.0033619178443395903,476
a,66,1.807814049495841,1.800959695959991,0.006854353535850066,530
a,67,1.6442325364102375,1.6526623613231786,0.008429824912941086,455
a,68,1.9232832078566329,1.91519868431275,0.008084523543882893,623
a,69,1.8188066347631762,1.811443534985544,0.007363099777632165,539
a,70,1.9177224671984294,1.9106600258245048,0.007062441373924644,498
a,71,1.8312264250651482,1.8361689037372988,0.004942478672150585,496
a,72,1.783081457231726,1.8194525684629168,0.036371111231190856,560
a,73,1.714402994923432,1.7279531937992705,0.013550198875838415,538
a,74,1.9224144187321892,1.9171311233746315,0.005283295357557671,397
a,75,1.7761031977765196,1.800365722072017,0.024262524295497467,555
a,76,1.9245719804173023,1.9183393459404465,0.006232634476855736,565
a,77,1.5753523765698723,1.56688560826191,0.008466768307962225,552
a,78,1.8014103329699973,1.786178873155428,0.015231459814569304,460
a,79,1.8674816801058536,1.8577253473778697,0.00975633272798393,453
a,80,1.7848519230711049,1.7863296745666142,0.0014777514955093274,464
a,81,1.7556430166947623,1.7679761133465892,0.012333096651826914,491
a,82,1.817521147949751,1.8148909871892411,0.0026301607605099253,516
a,83,1.7939329993461586,1.7980577742639776,0.004124774917819041,634
a,84,1.9381203279224546,1.9730720582487282,0.03495173032627363,458
a,85,1.9090360802191275,1.9094974531950775,0.0004613729759499474,675
a,86,1.9452162671311994,1.9549282348044565,0.009711967673257105,535
a,87,2.099469544231028,2.082400297773057,0.0170692464579707,483
a,88,1.6273577240380375,1.6312846514311703,0.003926927393132829,396
a,89,1.8979420276603314,1.9265864078444663,0.028644380184134954,495
a,90,1.7923047321936043,1.8002817350856506,0.007977002892046281,362
a,91,1.8843602277338505,1.8730405488839517,0.011319678849898818,416
a,92,1.8221596364303814,1.821646560623681,0.0005130758067004582,611
a,93,1.7239729935277202,1.7342030770315198,0.010230083503799614,499
a,94,1.9789908252786161,1.9833386320210056,0.004347806742389437,517
a,95,1.8782363835616633,1.846331227646183,0.03190515591548038,494
a,96,1.7602717806895574,1.762825964887937,0.0025541841983796054,480
a,97,1.7163642425571852,1.7048573305046624,0.011506912052522855,549
a,98,1.8408708888807415,1.8512318980546645,0.01036100917392302,486
a,99,1.7511899364221075,1.7601805250055844,0.0089905885834769,579
a,100,1.7846950849259362,1.767462903383381,0.017232181542555125,439
b,1,2.693279923585357,2.693279923585357,0.0,567
b,2,2.3449714738617904,2.3484722488331347,0.003500774971344267,636
b,3,2.337363097915339,2.334944374449627,0.002418723465711814,491
b,4,2.1077106944609354,2.111589115372235,0.0038784209112994183,503
b,5,2.156949477684567,1.9449229503277423,0.2120265273568247,517
b,6,1.9474078627995082,1.7925821227119083,0.15482574008759986,525
b,7,2.148464460434509,2.052183843406804,0.09628061702770507,542
b,8,2.2137832007057683,2.0691418074287125,0.14464139327705583,449
b,9,1.783920740501748,1.7481883368972275,0.03573240360452057,576
b,10,2.1320875171507616,2.0984250519875145,0.03366246516324711,521
b,11,1.8680416263946116,1.8514121479639725,0.01662947843063911,438
b,12,1.854549045773819,1.8551604774156567,0.0006114316418377452,497
b,13,1.9706584929581896,1.961712286426229,0.008946206531960543,569
b,14,1.9562670767724097,1.9153745507860518,0.04089252598635795,572
b,15,1.7523594009024757,1.733440354200346,0.018919046702129627,448
b,16,2.032927473298796,1.9873335901197495,0.04559388317904656,455
b,17,1.9195664400934045,1.9062239399843788,0.013342500109025712,634
b,18,1.8730726356608163,1.837634303391616,0.035438332269200234,562
b,19,1.908276441490351,1.896748439599109,0.011528001891242035,558
b,20,2.236128670024121,2.2075751885341535,0.028553481489967503,381
b,21,1.838698325966889,1.809527308760949,0.029171017205940064,530
b,22,1.7171566605567932,1.744643891811371,0.02748723125457775,500
b,23,1.9242009027114768,1.9048766493797302,0.019324253331746588,604
b,24,1.8377029499160908,1.805747900945004,0.03195504897108692,535
b,25,1.8306792231532634,1.8192542082325542,0.011425014920709131,422
b,26,1.7774437896027144,1.7634441295201688,0.013999660082545606,601
b,27,1.8944012266709196,1.9187516937543019,0.024350467083382288,631
b,28,1.7188822460059383,1.7223687246801773,0.003486478674239013,414
b,29,1.8123560292089087,1.7923369269085745,0.020019102300334213,585
b,30,1.7558770933571983,1.748396683167788,0.007480410189410369,612
b,31,1.7484047930834075,1.738622954058335,0.00978183902507257,458
b,32,2.028227996826172,1.9994508116245269,0.028777185201645183,500
b,33,1.932572571284463,1.9057495497060164,0.026823021578446626,418
b,34,1.8656447147966027,1.846277575524595,0.019367139272007616,601
b,35,1.8571847391304495,1.8418111757158793,0.01537356341457019,542
b,36,2.0206926142960264,2.011024028376529,0.009668585919497374,570
b,37,1.8423031093248354,1.8223125612553948,0.019990548069440672,459
b,38,1.8705115531250478,1.8534736519140873,0.017037901210960493,543
b,39,1.8109170984416632,1.8050679971468082,0.0058491012948549415,681
b,40,1.8119274417122642,1.8093544884042425,0.0025729533080216527,455
b,41,1.880252289916969,1.8550970836975653,0.025155206219403592,658
b,42,1.8848290701033705,1.8746078761957459,0.01022119390762466,472
b,43,1.721554318083776,1.7040025367330542,0.017551781350721773,446
b,44,1.7907012707501595,1.8068490494008953,0.0161477786507358,553
b,45,1.9323687481692087,1.9025112924256034,0.02985745574360532,507
b,46,1.890844702720642,1.8945611405220113,0.00371643780136921,469
