adapter,step,single_loss,multi_loss,abs_diff,tokens
a,1,4.128892612157378,4.128892612157378,0.0,636
a,2,4.0244338121500105,4.030462846670065,0.006029034520054211,555
a,3,2.728866904650548,2.7276137573774473,0.0012531472731005522,645
a,4,2.4056839290615564,2.4032465600884043,0.0024373689731520543,572
a,5,1.9975505699018004,1.9875316312358637,0.010018938665936616,628
a,6,1.6726592643351494,1.6612674297519014,0.011391834583247995,553
a,7,1.5904264908219843,1.5931944776447509,0.002767986822766577,523
a,8,1.69420322285878,1.6950645898082497,0.0008613669494696996,663
a,9,1.7589131850462694,1.7616778705503557,0.0027646855040863727,715
a,10,1.5659700582997607,1.569894537108734,0.003924478808973397,607
a,11,1.333727425754149,1.337208861876353,0.0034814361222039736,757
a,12,1.366905339769811,1.364210752302042,0.0026945874677690718,716
a,13,1.7424272749350687,1.7493946739821062,0.006967399047037581,553
a,14,1.6394156459884757,1.6452069703478487,0.005791324359373018,674
a,15,1.6710112290912205,1.6671889345734208,0.003822294517799696,675
a,16,1.5237178193593697,1.524333847893609,0.0006160285342393657,603
a,17,1.5701526147850986,1.5753299757458459,0.005177360960747279,667
a,18,1.3861142733006138,1.3768168673981878,0.009297405902426004,603
a,19,1.519323130985638,1.5178615339883454,0.0014615969972926468,666
a,20,1.543644428631616,1.5474483510804555,0.0038039224488395362,630
a,21,1.3710003418858603,1.3707277704151366,0.0002725714707236815,523
a,22,1.543564036303553,1.5393093169968703,0.004254719306682642,725
a,23,1.4351987357499603,1.4299656323549008,0.005233103395059446,649
a,24,1.4294914226263564,1.4185244533794605,0.010966969246895886,604
a,25,1.520072039618368,1.5267081220797003,0.006636082461332293,538
a,26,1.6550102094460648,1.6574617807279552,0.002451571281890441,684
a,27,1.6470964655280114,1.636863293250402,0.010233172277609448,720
a,28,1.4647234793168953,1.4639804790024094,0.000743000314485931,581
a,29,1.7012839545064897,1.6715171313997526,0.029766823106737172,670
a,30,1.5499800829000252,1.5695197353991428,0.0195396524991176,645
a,31,1.6790205884088005,1.6744552205081427,0.0045653679006578685,661
a,32,1.5384813872577559,1.54345034006674,0.004968952808984239,663
a,33,1.6451905659515493,1.6429129104544646,0.0022776554970846963,685
a,34,1.5319626081594664,1.528705972306272,0.0032566358531944672,611
a,35,1.5189937775034503,1.5263763405831463,0.007382563079695981,664
a,36,1.4869907077178595,1.4910171968327712,0.004026489114911769,634
a,37,1.596262499524224,1.5896395503621792,0.006622949162044867,629
a,38,1.3578402086308128,1.3423247074050115,0.015515501225801254,532
a,39,1.4289201273660612,1.4411000444533977,0.012179917087336456,611
a,40,1.5539285894025836,1.5444604405185633,0.009468148884020255,570
a,41,1.3984130703106774,1.3960488863049751,0.0023641840057022634,653
a,42,1.5137556955306488,1.5118246725677738,0.001931022962875062,676
a,43,1.5601227913842057,1.5508712790229104,0.009251512361295289,660
a,44,1.5747181717098424,1.5655572562696831,0.00916091544015929,627
a,45,1.3573889609511571,1.361712725676653,0.004323764725495893,524
a,46,1.5544330938594548,1.5502150946714746,0.00421799918798027,635
a,47,1.4357968323424848,1.4374131160214567,0.0016162836789719304,651
a,48,1.292255035173968,1.2912353890122108,0.0010196461617570929,636
a,49,1.4748640225420362,1.476343065294015,0.001479042751978854,578
a,50,1.4290520870869605,1.4306944248811253,0.0016423377941647832,583
a,51,1.5224236522013384,1.5233981789603894,0.0009745267590510753,701
a,52,1.375675846363457,1.3858909576501646,0.01021511128670749,568
a,53,1.415654922837418,1.4093083133562099,0.006346609481208132,493
a,54,1.587133279658746,1.594591072935989,0.00745779327724283,690
a,55,1.537287672023417,1.549594095182338,0.012306423158920943,589
a,56,1.647922663972409,1.6454537854312292,0.00246887854117972,689
a,57,1.4774356255994032,1.4870840654169257,0.009648439817522503,608
a,58,1.5397211694297903,1.5346803911620222,0.0050407782677681645,682
a,59,1.4988824231013151,1.4932763860903489,0.005606037010966292,503
a,60,1.6039011470782452,1.6080302492930338,0.0041291022147886824,624
a,61,1.5632492154357518,1.566597277136861,0.0033480617011092395,622
a,62,1.6541204653612387,1.653646162759207,0.0004743026020317398,658
a,63,1.6741283008030483,1.6769447330444578,0.0028164322414094833,630
a,64,1.4653770434837758,1.4733729849398975,0.007995941456121702,639
a,65,1.5797671942944858,1.575269519576768,0.00449767471771767,591
a,66,1.4706054865116314,1.4585774092254167,0.012028077286214689,647
a,67,1.3128586026290252,1.3057786318132631,0.00707997081576206,571
a,68,1.581801485048758,1.5931728785102433,0.01137139346148519,740
a,69,1.4881324407157548,1.4824675764512578,0.0056648642644969716,654
a,70,1.5737751519757939,1.581522878478555,0.007747726502761232,612
