adapter,step,single_loss,multi_loss,abs_diff,tokens
a,1,4.128892612157378,4.128892612157378,0.0,636
a,2,4.043377960050428,4.040892840290929,0.002485119759499277,555
a,3,2.8632536455642343,2.8609060686688093,0.0023475768954250853,645
a,4,2.494391112894445,2.4866099928642487,0.007781120030196487,572
a,5,2.013143952295279,2.0125529352267075,0.0005910170685714533,628
a,6,1.703214656164159,1.7048281911915508,0.0016135350273918103,553
a,7,1.6255265139257018,1.6456087132484918,0.020082199322789984,523
a,8,1.7141477917833745,1.8037419865753497,0.08959419479197517,663
a,9,1.7606828926326512,1.7818548689355382,0.02117197630288703,715
a,10,1.5534857161944544,1.551187301978248,0.002298414216206357,607
a,11,1.3152290571633545,1.3244768571664667,0.009247800003112205,757
a,12,1.3880971233937993,1.3904024126143428,0.002305289220543516,716
a,13,1.7460621599694057,1.7374234391379744,0.008638720831431357,553
a,14,1.6119850373409623,1.6224598127585843,0.010474775417621984,674
a,15,1.6572706400906598,1.6612766511351973,0.004006011044537461,675
a,16,1.5224636520319317,1.5203637705118107,0.002099881520120972,603
a,17,1.5678253636724766,1.5749859495320242,0.007160585859547597,667
a,18,1.380560978925841,1.3831642067452172,0.0026032278193761638,603
a,19,1.5409349618373331,1.5435075335674457,0.002572571730112605,666
a,20,1.5673175403050015,1.555726637159075,0.011590903145926479,630
a,21,1.374467853606317,1.3730439904998868,0.0014238631064302787,523
a,22,1.5531613313740698,1.5485433354871025,0.004617995886967208,725
a,23,1.4544119956129689,1.4498898483388045,0.004522147274164334,649
a,24,1.4463180275942316,1.4347956458859097,0.011522381708321872,604
a,25,1.5413491628427045,1.5436863919173032,0.002337229074598657,538
a,26,1.6755454519338775,1.6805905828699035,0.005045130936025988,684
a,27,1.6513563983970219,1.6343962035245365,0.016960194872485346,720
a,28,1.4898862352469702,1.502055247145963,0.012169011898992776,581
a,29,1.6906686754369025,1.6842059130099283,0.006462762426974189,670
a,30,1.5700780987739562,1.57587065604306,0.005792557269103771,645
a,31,1.6737245211262206,1.6740280438479425,0.00030352272172184946,661
a,32,1.5488218074470623,1.551776688382996,0.002954880935933657,663
