adapter,step,single_loss,multi_loss,abs_diff,tokens
a,1,2.638955743665201,2.638955743665201,0.0,521
a,2,2.4678281381490805,2.472144490170963,0.004316352021882519,443
a,3,2.257708913613439,2.2613683337342225,0.003659420120783352,533
a,4,2.3653457487514444,2.3698230724147313,0.004477323663286903,458
a,5,2.115170372367369,2.108577907781193,0.006592464586176128,514
a,6,1.8657890951060594,1.8750222858629728,0.009233190756913423,437
a,7,2.0639728553757912,2.0599265171796155,0.004046338196175725,407
a,8,2.0287835738365203,2.0208153262518453,0.007968247584674959,552
a,9,2.1180424943714837,2.1020924300450425,0.015950064326441193,602
a,10,2.000813768553202,1.9820041288952315,0.018809639657970445,493
a,11,1.59321175376821,1.591615062692891,0.0015966910753189012,644
a,12,1.6494825628904806,1.6445425734963528,0.004939989394127764,602
a,13,2.2307369937635446,2.2472122561986043,0.0164752624350597,438
a,14,1.9916646733880043,1.9691788720233099,0.02248580136469447,560
a,15,1.9983189715846124,2.0050947364426337,0.006775764858021338,561
a,16,1.9158764005441686,1.9151599475735266,0.0007164529706420453,487
a,17,1.9540169721506468,1.9523928366642034,0.0016241354864434676,551
a,18,1.7438947850918622,1.7343282829319917,0.009566502159870538,487
a,19,1.892104626347442,1.8615253438588084,0.030579282488633508,554
a,20,1.922272917599354,1.8969367233294885,0.025336194269865553,515
a,21,1.7672916770272848,1.7643224306969305,0.002969246330354336,409
a,22,1.8769410055185414,1.8578745935713876,0.01906641194715375,613
a,23,1.7982179380174894,1.7892395057784978,0.00897843223899164,536
a,24,1.7766647462942162,1.7710251542986655,0.005639591995550752,490
a,25,1.9707513630531077,1.9671655690416376,0.003585794011470078,423
a,26,2.029880272483155,1.976096390630323,0.053783881852832005,569
a,27,1.9851890920024169,1.9893495916928117,0.004160499690394781,608
a,28,1.8929970562458038,1.858322411011427,0.03467464523437691,468
a,29,2.0737392410878464,2.050549623979151,0.02318961710869516,553
a,30,1.9054287938194918,1.9234233410228707,0.017994547203378897,533
a,31,2.036019277833674,2.0245022521401843,0.011517025693489558,548
a,32,1.888147834232128,1.8810922970937418,0.0070555371383862475,547
a,33,1.9963505516972457,1.980991188266821,0.015359363430424766,570
a,34,1.8843123271099982,1.8788957268961015,0.005416600213896672,496
a,35,1.907567728236453,1.8695664048843939,0.03800132335205908,551
a,36,1.855580019165379,1.8509074874626574,0.004672531702721638,516
a,37,1.971471711646679,1.9591575186381969,0.012314193008482022,516
a,38,1.7233975213780393,1.7254141920762096,0.002016670698170353,417
a,39,1.812127474082043,1.7822170307837337,0.029910443298309275,498
a,40,1.9560240023491675,1.9507451439112948,0.00527885843787268,456
a,41,1.7043237192036937,1.6942678202483734,0.01005589895532033,538
a,42,1.8829618038123286,1.8927714941133191,0.009809690300990548,563
a,43,1.9086370326223827,1.919044586983356,0.010407554360973181,546
a,44,1.9168584404978901,1.9123878395184875,0.004470600979402661,512
a,45,1.7852475089168316,1.7747563550071994,0.010491153909632178,411
a,46,1.8940928605781204,1.885316648017401,0.008776212560719365,522
a,47,1.8000358464766522,1.7852470262152367,0.01478882026141548,539
a,48,1.6238171410102111,1.6082759896150003,0.01554115139521084,520
